void_shape_circle,void_shape_ellipse,void_shape_irregular,void_count_mean,void_count_std,base_size_mean,base_size_std,rotation_mean,rotation_std,center_x_mean,center_x_std,center_y_mean,center_y_std,position_spread_mean,position_spread_std
0.24,0.46,0.30,3.9,2.6,9.6,2.5,173.4,83.6,0.53,0.13,0.47,0.12,0.47,0.11
0.20,0.50,0.30,5.0,3.2,10.4,3.0,181.5,91.6,0.49,0.16,0.51,0.15,0.51,0.14
0.22,0.48,0.30,4.2,2.8,9.9,2.7,176.8,86.3,0.52,0.14,0.48,0.13,0.48,0.12
0.26,0.44,0.30,3.8,2.5,9.4,2.4,171.5,81.0,0.54,0.12,0.46,0.11,0.46,0.10
0.19,0.51,0.30,5.4,3.5,10.9,3.4,186.2,96.3,0.48,0.17,0.52,0.16,0.54,0.15
0.23,0.47,0.30,4.0,2.7,9.7,2.6,174.9,84.4,0.51,0.14,0.49,0.13,0.49,0.12
0.21,0.49,0.30,4.8,3.1,10.5,3.0,182.1,92.9,0.50,0.16,0.50,0.15,0.52,0.14
0.24,0.46,0.30,4.3,2.8,10.0,2.7,177.8,87.9,0.52,0.14,0.48,0.13,0.48,0.12
0.20,0.50,0.30,4.6,2.9,10.1,2.8,180.2,89.7,0.50,0.15,0.50,0.14,0.50,0.13
0.22,0.48,0.30,3.9,2.6,9.5,2.5,172.2,82.9,0.53,0.13,0.47,0.12,0.47,0.11
0.25,0.45,0.30,5.1,3.3,10.7,3.1,184.1,94.0,0.49,0.16,0.51,0.15,0.53,0.14
0.19,0.51,0.30,4.2,2.8,9.8,2.6,176.1,86.1,0.51,0.14,0.49,0.13,0.49,0.12
0.23,0.47,0.30,4.5,2.9,10.3,2.9,180.5,90.8,0.50,0.15,0.50,0.14,0.51,0.13
0.21,0.49,0.30,3.7,2.4,9.2,2.2,169.5,78.9,0.54,0.12,0.46,0.11,0.45,0.10
0.24,0.46,0.30,4.9,3.1,10.6,3.0,183.7,93.2,0.49,0.16,0.51,0.15,0.52,0.14
0.20,0.50,0.30,4.1,2.7,9.9,2.7,175.0,85.0,0.51,0.14,0.49,0.13,0.49,0.12
0.22,0.48,0.30,4.7,3.0,10.4,2.9,181.8,91.3,0.50,0.15,0.50,0.14,0.51,0.13
0.26,0.44,0.30,3.8,2.5,9.3,2.3,170.7,80.4,0.54,0.12,0.46,0.11,0.46,0.10
0.19,0.51,0.30,5.3,3.4,10.8,3.3,185.9,95.7,0.48,0.17,0.52,0.16,0.53,0.15
0.23,0.47,0.30,4.4,2.9,10.2,2.8,178.6,88.8,0.51,0.15,0.49,0.14,0.50,0.13
0.21,0.49,0.30,4.0,2.6,9.6,2.5,173.7,83.0,0.52,0.13,0.48,0.12,0.47,0.11
0.24,0.46,0.30,5.0,3.2,10.5,3.0,182.4,92.2,0.49,0.16,0.51,0.15,0.52,0.14
0.20,0.50,0.30,4.2,2.8,9.9,2.7,176.5,86.7,0.52,0.14,0.48,0.13,0.48,0.12
0.22,0.48,0.30,4.6,3.0,10.3,2.9,180.9,90.4,0.50,0.15,0.50,0.14,0.51,0.13
0.25,0.45,0.30,3.9,2.6,9.5,2.4,172.6,82.1,0.53,0.13,0.47,0.12,0.47,0.11
0.19,0.51,0.30,5.2,3.3,10.9,3.2,185.3,94.8,0.48,0.17,0.52,0.16,0.53,0.15
0.23,0.47,0.30,4.3,2.8,10.0,2.7,177.2,87.3,0.52,0.14,0.48,0.13,0.48,0.12
0.21,0.49,0.30,4.8,3.1,10.6,3.1,183.0,93.5,0.49,0.16,0.51,0.15,0.52,0.14
0.24,0.46,0.30,3.7,2.4,9.1,2.1,168.8,78.2,0.54,0.12,0.46,0.11,0.45,0.10
0.20,0.50,0.30,4.5,2.9,10.1,2.8,179.7,89.0,0.50,0.15,0.50,0.14,0.50,0.13
0.22,0.48,0.30,4.1,2.7,9.8,2.6,175.3,85.4,0.51,0.14,0.49,0.13,0.49,0.12
0.26,0.44,0.30,5.1,3.3,10.7,3.2,184.4,94.3,0.49,0.16,0.51,0.15,0.53,0.14
0.19,0.51,0.30,4.4,2.9,10.2,2.8,178.3,88.5,0.51,0.15,0.49,0.14,0.50,0.13
0.23,0.47,0.30,3.9,2.6,9.6,2.5,173.1,82.7,0.53,0.13,0.47,0.12,0.47,0.11
0.21,0.49,0.30,5.0,3.2,10.5,3.0,182.7,92.5,0.49,0.16,0.51,0.15,0.52,0.14
0.24,0.46,0.30,4.2,2.8,9.9,2.7,176.9,86.5,0.52,0.14,0.48,0.13,0.48,0.12
0.20,0.50,0.30,4.7,3.0,10.4,2.9,181.2,91.0,0.50,0.15,0.50,0.14,0.51,0.13
0.22,0.48,0.30,3.8,2.5,9.4,2.4,171.0,80.7,0.54,0.12,0.46,0.11,0.46,0.10
0.25,0.45,0.30,5.3,3.4,10.8,3.3,185.6,95.4,0.48,0.17,0.52,0.16,0.53,0.15
0.19,0.51,0.30,4.1,2.7,9.7,2.6,174.6,84.1,0.51,0.14,0.49,0.13,0.49,0.12
0.23,0.47,0.30,4.6,3.0,10.3,2.9,180.6,90.1,0.50,0.15,0.50,0.14,0.51,0.13
0.21,0.49,0.30,4.3,2.8,10.0,2.7,177.5,87.6,0.52,0.14,0.48,0.13,0.48,0.12
0.24,0.46,0.30,3.9,2.6,9.5,2.5,172.8,82.3,0.53,0.13,0.47,0.12,0.47,0.11
0.20,0.50,0.30,5.1,3.3,10.7,3.1,184.1,93.9,0.49,0.16,0.51,0.15,0.53,0.14
0.22,0.48,0.30,4.4,2.9,10.2,2.8,178.9,88.9,0.51,0.15,0.49,0.14,0.50,0.13
0.26,0.44,0.30,4.0,2.6,9.6,2.5,173.4,83.2,0.52,0.13,0.48,0.12,0.47,0.11
0.19,0.51,0.30,4.8,3.1,10.6,3.1,183.3,93.0,0.49,0.16,0.51,0.15,0.52,0.14
0.23,0.47,0.30,3.7,2.4,9.2,2.2,169.8,79.3,0.54,0.12,0.46,0.11,0.45,0.10
0.21,0.49,0.30,5.2,3.3,10.9,3.2,185.0,94.6,0.48,0.17,0.52,0.16,0.53,0.15
0.24,0.46,0.30,4.2,2.8,9.9,2.7,176.3,86.2,0.52,0.14,0.48,0.13,0.48,0.12
0.20,0.50,0.30,4.5,2.9,10.1,2.8,179.9,89.3,0.50,0.15,0.50,0.14,0.50,0.13
0.22,0.48,0.30,4.1,2.7,9.8,2.6,175.7,85.8,0.51,0.14,0.49,0.13,0.49,0.12
0.25,0.45,0.30,5.0,3.2,10.5,3.0,182.1,92.1,0.49,0.16,0.51,0.15,0.52,0.14
0.19,0.51,0.30,3.9,2.6,9.5,2.4,172.4,82.5,0.53,0.13,0.47,0.12,0.47,0.11
0.23,0.47,0.30,4.7,3.0,10.4,2.9,181.5,91.5,0.50,0.15,0.50,0.14,0.51,0.13
0.21,0.49,0.30,4.3,2.8,10.0,2.7,177.1,87.1,0.52,0.14,0.48,0.13,0.48,0.12
0.24,0.46,0.30,3.8,2.5,9.3,2.3,170.4,80.1,0.54,0.12,0.46,0.11,0.46,0.10
0.20,0.50,0.30,5.3,3.4,10.8,3.3,185.9,95.2,0.48,0.17,0.52,0.16,0.53,0.15
0.22,0.48,0.30,4.4,2.9,10.2,2.8,178.6,88.7,0.51,0.15,0.49,0.14,0.50,0.13
0.26,0.44,0.30,4.1,2.7,9.7,2.6,174.3,84.8,0.51,0.14,0.49,0.13,0.49,0.12
0.19,0.51,0.30,4.9,3.1,10.6,3.0,183.6,93.4,0.49,0.16,0.51,0.15,0.52,0.14
0.23,0.47,0.30,3.7,2.4,9.1,2.1,168.6,78.0,0.54,0.12,0.46,0.11,0.45,0.10
0.21,0.49,0.30,5.1,3.3,10.7,3.2,184.7,94.2,0.49,0.16,0.51,0.15,0.53,0.14
0.24,0.46,0.30,4.2,2.8,9.9,2.7,176.6,86.4,0.52,0.14,0.48,0.13,0.48,0.12
0.20,0.50,0.30,4.6,3.0,10.3,2.9,180.3,90.6,0.50,0.15,0.50,0.14,0.51,0.13
0.22,0.48,0.30,3.9,2.6,9.5,2.5,172.9,82.4,0.53,0.13,0.47,0.12,0.47,0.11
0.25,0.45,0.30,5.2,3.3,10.9,3.2,185.3,94.9,0.48,0.17,0.52,0.16,0.53,0.15
0.19,0.51,0.30,4.3,2.8,10.0,2.7,177.4,87.5,0.52,0.14,0.48,0.13,0.48,0.12
0.23,0.47,0.30,4.8,3.1,10.5,3.0,182.8,92.7,0.49,0.16,0.51,0.15,0.52,0.14
0.21,0.49,0.30,3.8,2.5,9.4,2.4,171.3,81.3,0.54,0.12,0.46,0.11,0.46,0.10
0.24,0.46,0.30,4.5,2.9,10.1,2.8,179.5,89.6,0.50,0.15,0.50,0.14,0.50,0.13
0.20,0.50,0.30,4.1,2.7,9.8,2.6,175.4,85.5,0.51,0.14,0.49,0.13,0.49,0.12
0.22,0.48,0.30,5.0,3.2,10.7,3.1,183.9,93.7,0.49,0.16,0.51,0.15,0.52,0.14
0.26,0.44,0.30,4.4,2.9,10.2,2.8,178.7,88.6,0.51,0.15,0.49,0.14,0.50,0.13
0.19,0.51,0.30,3.9,2.6,9.6,2.5,173.5,83.4,0.53,0.13,0.47,0.12,0.47,0.11
0.23,0.47,0.30,4.7,3.0,10.4,2.9,181.4,91.4,0.50,0.15,0.50,0.14,0.51,0.13
0.21,0.49,0.30,4.2,2.8,9.9,2.7,176.7,86.6,0.52,0.14,0.48,0.13,0.48,0.12
0.24,0.46,0.30,3.8,2.5,9.3,2.3,170.6,80.3,0.54,0.12,0.46,0.11,0.46,0.10
0.20,0.50,0.30,5.3,3.4,10.8,3.3,185.6,95.5,0.48,0.17,0.52,0.16,0.53,0.15
0.22,0.48,0.30,4.5,2.9,10.3,2.9,180.0,89.9,0.50,0.15,0.50,0.14,0.50,0.13
0.25,0.45,0.30,4.0,2.6,9.7,2.5,174.0,84.5,0.51,0.14,0.49,0.13,0.49,0.12
0.19,0.51,0.30,4.9,3.1,10.6,3.0,183.4,93.1,0.49,0.16,0.51,0.15,0.52,0.14
0.23,0.47,0.30,3.7,2.4,9.2,2.2,169.2,78.6,0.54,0.12,0.46,0.11,0.45,0.10
0.21,0.49,0.30,5.1,3.3,10.7,3.2,184.4,94.1,0.49,0.16,0.51,0.15,0.53,0.14
0.24,0.46,0.30,4.3,2.8,10.0,2.7,177.6,87.7,0.52,0.14,0.48,0.13,0.48,0.12
0.20,0.50,0.30,4.6,3.0,10.4,2.9,181.1,90.9,0.50,0.15,0.50,0.14,0.51,0.13
0.22,0.48,0.30,3.9,2.6,9.5,2.5,172.7,82.2,0.53,0.13,0.47,0.12,0.47,0.11
0.26,0.44,0.30,5.2,3.3,10.9,3.2,185.2,94.7,0.48,0.17,0.52,0.16,0.53,0.15
0.19,0.51,0.30,4.2,2.8,9.9,2.7,176.4,86.3,0.52,0.14,0.48,0.13,0.48,0.12
0.23,0.47,0.30,4.8,3.1,10.5,3.0,182.6,92.6,0.49,0.16,0.51,0.15,0.52,0.14
0.21,0.49,0.30,3.8,2.5,9.4,2.4,171.1,81.0,0.54,0.12,0.46,0.11,0.46,0.10
0.24,0.46,0.30,4.4,2.9,10.1,2.8,179.3,89.4,0.50,0.15,0.50,0.14,0.50,0.13
0.20,0.50,0.30,4.1,2.7,9.8,2.6,175.6,85.7,0.51,0.14,0.49,0.13,0.49,0.12
0.22,0.48,0.30,5.0,3.2,10.6,3.1,183.7,93.6,0.49,0.16,0.51,0.15,0.52,0.14
0.25,0.45,0.30,4.5,2.9,10.3,2.9,180.7,90.5,0.50,0.15,0.50,0.14,0.51,0.13
0.19,0.51,0.30,3.9,2.6,9.6,2.5,173.8,83.1,0.53,0.13,0.47,0.12,0.47,0.11
0.23,0.47,0.30,4.7,3.0,10.4,2.9,181.6,91.6,0.50,0.15,0.50,0.14,0.51,0.13
0.21,0.49,0.30,4.2,2.8,9.9,2.7,176.8,86.8,0.52,0.14,0.48,0.13,0.48,0.12
0.24,0.46,0.30,3.8,2.5,9.3,2.3,170.8,80.5,0.54,0.12,0.46,0.11,0.46,0.10
0.20,0.50,0.30,5.3,3.4,10.8,3.3,185.8,95.3,0.48,0.17,0.52,0.16,0.53,0.15
0.22,0.48,0.30,4.6,3.0,10.3,2.9,180.4,90.2,0.50,0.15,0.50,0.14,0.51,0.13
0.26,0.44,0.30,4.0,2.6,9.7,2.5,174.2,84.6,0.51,0.14,0.49,0.13,0.49,0.12
